Id,Date,Thread,Level,Logger,Message,Exception
285147991,2026-01-08 14:14:56.670,104,INFO,BTS.Server.Start.IPSBizs.NewCtrl.IPSMainCtrl,"{""Module"":""换材判定模块"",""Ip"":""172.32.64.10"",""Host"":""BTS-SHLY-SVR"",""UserName"":null,""Content"":""拿到了 LS0 实际材质=T,实际门幅=2400.00\r\n当前 LS0 材质=T,门幅=2400\r\n材质一样，不需要赋值\r\n"",""ExceptionInfo"":null}",
285149172,2026-01-08 14:20:23.227,89,INFO,BTS.Server.Start.IPSBizs.NewCtrl.IPSMainCtrl,"{""Module"":""换材判定模块"",""Ip"":""172.32.64.10"",""Host"":""BTS-SHLY-SVR"",""UserName"":null,""Content"":""HandleM107-用户修改系数或者开关，报文：{\""VarType\"":\""PreheaterSteamInfo\"",\""VarPosition\"":\""SF1\"",\""VarPositionTable\"":\""SF1\"",\""VarIsOpen\"":\""FALSE\""}"",""ExceptionInfo"":null}",
285149175,2026-01-08 14:20:23.673,27,INFO,BTS.Server.Start.IPSBizs.NewCtrl.IPSMainCtrl,"{""Module"":""换材判定模块"",""Ip"":""172.32.64.10"",""Host"":""BTS-SHLY-SVR"",""UserName"":null,""Content"":""HandleM107-用户修改系数或者开关，报文：{\""VarType\"":\""PreheaterSteamInfo\"",\""VarPosition\"":\""SF1\"",\""VarPositionTable\"":\""SF1\"",\""VarIsOpen\"":\""TRUE\""}"",""ExceptionInfo"":null}",
285149604,2026-01-08 14:22:20.160,79,INFO,BTS.Server.Start.IPSBizs.NewCtrl.IPSMainCtrl,"{""Module"":""换材判定模块"",""Ip"":""172.32.64.10"",""Host"":""BTS-SHLY-SVR"",""UserName"":null,""Content"":""CalSPNextBatchInfo--LS2-下批材质=J,下批门幅=2350,下批楞型=B,下批全材质=P.-.-.8.J"",""ExceptionInfo"":null}",
285149614,2026-01-08 14:22:21.997,142,INFO,BTS.Server.Start.IPSBizs.NewCtrl.IPSMainCtrl,"{""Module"":""换材判定模块"",""Ip"":""172.32.64.10"",""Host"":""BTS-SHLY-SVR"",""UserName"":null,""Content"":""CalSPNextBatchInfo--LS2-下批材质=J,下批门幅=2350,下批楞型=B,下批全材质=P.-.-.8.J"",""ExceptionInfo"":null}",
285149622,2026-01-08 14:22:24.163,135,INFO,BTS.Server.Start.IPSBizs.NewCtrl.IPSMainCtrl,"{""Module"":""换材判定模块"",""Ip"":""172.32.64.10"",""Host"":""BTS-SHLY-SVR"",""UserName"":null,""Content"":""CalSPNextBatchInfo--LS2-下批材质=J,下批门幅=2350,下批楞型=B,下批全材质=P.-.-.8.J"",""ExceptionInfo"":null}",
285149629,2026-01-08 14:22:25.740,94,INFO,BTS.Server.Start.IPSBizs.NewCtrl.IPSMainCtrl,"{""Module"":""换材判定模块"",""Ip"":""172.32.64.10"",""Host"":""BTS-SHLY-SVR"",""UserName"":null,""Content"":""CalSPNextBatchInfo--LS2-下批材质=J,下批门幅=2350,下批楞型=B,下批全材质=P.-.-.8.J"",""ExceptionInfo"":null}",
285149636,2026-01-08 14:22:26.690,144,INFO,BTS.Server.Start.IPSBizs.NewCtrl.IPSMainCtrl,"{""Module"":""换材判定模块"",""Ip"":""172.32.64.10"",""Host"":""BTS-SHLY-SVR"",""UserName"":null,""Content"":""CalSPNextBatchInfo--MS2-下批材质=8,下批门幅=2350,下批楞型=B,下批全材质=P.-.-.8.J"",""ExceptionInfo"":null}",
285149642,2026-01-08 14:22:28.280,265,INFO,BTS.Server.Start.IPSBizs.NewCtrl.IPSMainCtrl,"{""Module"":""换材判定模块"",""Ip"":""172.32.64.10"",""Host"":""BTS-SHLY-SVR"",""UserName"":null,""Content"":""CalSPNextBatchInfo--MS2-下批材质=8,下批门幅=2350,下批楞型=B,下批全材质=P.-.-.8.J"",""ExceptionInfo"":null}",
285149643,2026-01-08 14:22:28.607,265,INFO,BTS.Server.Start.IPSBizs.NewCtrl.IPSMainCtrl,"{""Module"":""换材判定模块"",""Ip"":""172.32.64.10"",""Host"":""BTS-SHLY-SVR"",""UserName"":null,""Content"":""CalSPNextBatchInfo--LS2-下批材质=J,下批门幅=2350,下批楞型=B,下批全材质=P.-.-.8.J"",""ExceptionInfo"":null}",
