Message,Date
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=49.1300,GuRange1=1,GuRange2=7,GuRange3=10"",""ExceptionInfo"":""""}",2026-06-04 15:59:31.846035
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=47.5400,GuRange1=1,GuRange2=8,GuRange3=10"",""ExceptionInfo"":""""}",2026-06-04 15:59:32.391518
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=45.9500,GuRange1=1,GuRange2=9,GuRange3=10"",""ExceptionInfo"":""""}",2026-06-04 15:59:32.922683
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=44.3600,GuRange1=1,GuRange2=10,GuRange3=10"",""ExceptionInfo"":""""}",2026-06-04 15:59:33.452279
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=44.3600,GuRange1=1,GuRange2=11,GuRange3=10"",""ExceptionInfo"":""""}",2026-06-04 15:59:34.058063
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=41.1800,GuRange1=1,GuRange2=12,GuRange3=10"",""ExceptionInfo"":""""}",2026-06-04 15:59:34.599394
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=39.5900,GuRange1=1,GuRange2=13,GuRange3=10"",""ExceptionInfo"":""""}",2026-06-04 15:59:35.136189
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=38.0000,GuRange1=1,GuRange2=14,GuRange3=10"",""ExceptionInfo"":""""}",2026-06-04 15:59:35.672835
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=36.4100,GuRange1=1,GuRange2=15,GuRange3=10"",""ExceptionInfo"":""""}",2026-06-04 15:59:36.201940
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=36.4100,GuRange1=1,GuRange2=16,GuRange3=10"",""ExceptionInfo"":""""}",2026-06-04 15:59:36.735190
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\n"",""ExceptionInfo"":""""}",2026-06-04 15:59:37.198180
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=36.4100,GuRange1=1,GuRange2=17,GuRange3=10"",""ExceptionInfo"":""""}",2026-06-04 15:59:37.268437
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--已进入换材处理:糊机同材剩余-横切到糊机的距离=-2.04,糊机到横切距离设定值=34"",""ExceptionInfo"":""""}",2026-06-04 15:59:37.895226
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--糊机判定为换材\r\n上次使用的：材质=K.8.1.7.K，楞型=5BA，门幅=2800\r\n即将使用的：材质=G.7.1.7.N，楞型=5BA，门幅=2800;下批材质=G.7.1.7.N\r\n准备进入HandleGuChangePaper具体执行函数\r\n"",""ExceptionInfo"":""""}",2026-06-04 15:59:37.934542
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""开启糊机实材处理，本次糊机理论材质=G.7.1.7.N，实际赋值使用实际材质=G.7.1.7.N"",""ExceptionInfo"":""""}",2026-06-04 15:59:37.952624
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleGuChangePaper 已发送糊机换材消息，通知各执行类"",""ExceptionInfo"":""""}",2026-06-04 15:59:38.180677
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 构造通知消息报文完成，准备发送......"",""ExceptionInfo"":""""}",2026-06-04 15:59:52.650725
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 发送完毕"",""ExceptionInfo"":""""}",2026-06-04 15:59:54.072881
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\nLS0横切换材了。上笔材质=K，门幅=2800；本批材质=G，门幅=2800\r\nLS0材质校准：当前正在用的材质=K，门幅=2800，校准后的材质=G，门幅=2800\r\nMS1横切换材了。上笔材质=8，门幅=2800；本批材质=7，门幅=2800\r\nMS1材质校准:当前正在用的材质=8，门幅=2800，校准后的材质=7，门幅=2800\r\nMS2横切换材了。上笔材质=8，门幅=2800；本批材质=7，门幅=2800\r\nMS2材质校准:当前正在用的材质=8，门幅=2800，校准后的材质=7，门幅=2800\r\nLS2横切换材了。上笔材质=K，门幅=2800；本批材质=N，门幅=2800\r\nLS2材质校准:当前正在用的材质=K，门幅=2800，校准后的材质=N，门幅=2800\r\n立刻给各部位赋值\r\n"",""ExceptionInfo"":""""}",2026-06-04 15:59:54.095426
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=89.54,GuRange1=0,GuRange2=0,GuRange3=1"",""ExceptionInfo"":""""}",2026-06-04 16:00:02.553157
