Message,Date
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=55.6,GuRange1=0,GuRange2=3,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:34.213947
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=54.2,GuRange1=0,GuRange2=4,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:34.751386
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=52.8,GuRange1=0,GuRange2=5,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:35.279289
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=50.7,GuRange1=0,GuRange2=6,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:35.816821
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=50.7,GuRange1=0,GuRange2=7,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:36.348485
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=49.3,GuRange1=0,GuRange2=8,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:36.890267
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=47.9,GuRange1=0,GuRange2=9,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:37.422777
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=46.5,GuRange1=0,GuRange2=10,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:37.961436
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=44.4,GuRange1=0,GuRange2=11,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:38.494718
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=43,GuRange1=0,GuRange2=12,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:39.031934
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=41.6,GuRange1=0,GuRange2=13,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:39.561529
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=39.5,GuRange1=0,GuRange2=14,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:40.082273
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=38.1,GuRange1=0,GuRange2=15,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:40.620204
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=36.7,GuRange1=0,GuRange2=16,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:41.163656
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=36.7,GuRange1=0,GuRange2=17,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:41.723152
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=34.6,GuRange1=0,GuRange2=18,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:42.258229
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=33.2,GuRange1=0,GuRange2=19,GuRange3=20"",""ExceptionInfo"":""""}",2026-06-05 11:08:42.788072
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--已进入换材处理:糊机同材剩余-横切到糊机的距离=33.2,糊机到横切距离设定值=34"",""ExceptionInfo"":""""}",2026-06-05 11:08:42.798610
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--糊机判定为换材\r\n上次使用的：材质=Q.Q.Q.Q.Q，楞型=5BA，门幅=2500\r\n即将使用的：材质=K.K.K.K.K，楞型=5BA，门幅=2500;下批材质=K.K.K.K.K\r\n准备进入HandleGuChangePaper具体执行函数\r\n"",""ExceptionInfo"":""""}",2026-06-05 11:08:42.815844
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""开启糊机实材处理，本次糊机理论材质=K.K.K.K.K，实际赋值使用实际材质=K.K.K.K.K"",""ExceptionInfo"":""""}",2026-06-05 11:08:42.826224
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleGuChangePaper 已发送糊机换材消息，通知各执行类"",""ExceptionInfo"":""""}",2026-06-05 11:08:43.014238
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--LS2-下批材质=K,下批门幅=2500,下批楞型=A,下批全材质=K.K.K.K.K"",""ExceptionInfo"":""""}",2026-06-05 11:08:53.795954
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--LS2-下批材质=K,下批门幅=2500,下批楞型=A,下批全材质=K.K.K.K.K"",""ExceptionInfo"":""""}",2026-06-05 11:08:55.372864
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--LS2-下批材质=K,下批门幅=2500,下批楞型=A,下批全材质=K.K.K.K.K"",""ExceptionInfo"":""""}",2026-06-05 11:08:56.940359
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--LS2-下批材质=K,下批门幅=2500,下批楞型=A,下批全材质=K.K.K.K.K"",""ExceptionInfo"":""""}",2026-06-05 11:08:58.497280
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--LS2-下批材质=K,下批门幅=2500,下批楞型=A,下批全材质=K.K.K.K.K"",""ExceptionInfo"":""""}",2026-06-05 11:09:00.070659
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--LS2-下批材质=K,下批门幅=2500,下批楞型=A,下批全材质=K.K.K.K.K"",""ExceptionInfo"":""""}",2026-06-05 11:09:01.633108
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--LS2-下批材质=K,下批门幅=2500,下批楞型=A,下批全材质=K.K.K.K.K"",""ExceptionInfo"":""""}",2026-06-05 11:09:03.199344
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--LS2-下批材质=K,下批门幅=2500,下批楞型=A,下批全材质=K.K.K.K.K"",""ExceptionInfo"":""""}",2026-06-05 11:09:04.754518
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--LS2-下批材质=K,下批门幅=2500,下批楞型=A,下批全材质=K.K.K.K.K"",""ExceptionInfo"":""""}",2026-06-05 11:09:06.301645
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--LS2-下批材质=K,下批门幅=2500,下批楞型=A,下批全材质=K.K.K.K.K"",""ExceptionInfo"":""""}",2026-06-05 11:09:07.871059
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--LS2-下批材质=K,下批门幅=2500,下批楞型=A,下批全材质=K.K.K.K.K"",""ExceptionInfo"":""""}",2026-06-05 11:09:09.431712
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--LS2-下批材质=K,下批门幅=2500,下批楞型=A,下批全材质=K.K.K.K.K"",""ExceptionInfo"":""""}",2026-06-05 11:09:10.984907
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--LS2-下批材质=K,下批门幅=2500,下批楞型=A,下批全材质=K.K.K.K.K"",""ExceptionInfo"":""""}",2026-06-05 11:09:12.543193
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--LS2-下批材质=K,下批门幅=2500,下批楞型=A,下批全材质=K.K.K.K.K"",""ExceptionInfo"":""""}",2026-06-05 11:09:14.111025
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--LS2-下批材质=K,下批门幅=2500,下批楞型=A,下批全材质=K.K.K.K.K"",""ExceptionInfo"":""""}",2026-06-05 11:09:15.681508
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 构造通知消息报文完成，准备发送......"",""ExceptionInfo"":""""}",2026-06-05 11:09:18.019458
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 发送完毕"",""ExceptionInfo"":""""}",2026-06-05 11:09:19.018580
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\nLS0横切换材了。上笔材质=Q，门幅=2500；本批材质=K，门幅=2500\r\nLS0材质校准：当前正在用的材质=Q，门幅=2500，校准后的材质=K，门幅=2500\r\nMS1横切换材了。上笔材质=Q，门幅=2500；本批材质=K，门幅=2500\r\nMS1材质校准:当前正在用的材质=Q，门幅=2500，校准后的材质=K，门幅=2500\r\nLS1横切换材了。上笔材质=Q，门幅=2500；本批材质=K，门幅=2500\r\nLS1材质校准:当前正在用的材质=Q，门幅=2500，校准后的材质=K，门幅=2500\r\nMS2横切换材了。上笔材质=Q，门幅=2500；本批材质=K，门幅=2500\r\nMS2材质校准:当前正在用的材质=Q，门幅=2500，校准后的材质=K，门幅=2500\r\nLS2横切换材了。上笔材质=Q，门幅=2500；本批材质=K，门幅=2500\r\nLS2材质校准:当前正在用的材质=Q，门幅=2500，校准后的材质=K，门幅=2500\r\n立刻给各部位赋值\r\n"",""ExceptionInfo"":""""}",2026-06-05 11:09:19.030771
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""InitInfos 初始化各部位数据完成:\r\nGU--材质=K.K.K.K.K，门幅=2500，楞型=5BA\r\nLS0--材质=K，门幅=2500，楞型=5BA，对应的订单材质=K.K.K.K.K\r\nMS1--材质=K，门幅=2500，楞型=B，对应的订单材质=K.K.K.K.K\r\nLS1--材质=K，门幅=2500，楞型=B，对应的订单材质=K.K.K.K.K\r\nMS2--材质=K，门幅=2500，楞型=A，对应的订单材质=K.K.K.K.K\r\nLS2--材质=K，门幅=2500，楞型=A，对应的订单材质=K.K.K.K.K\r\nMS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\nLS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\n"",""ExceptionInfo"":""""}",2026-06-05 11:15:37.496883
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\n"",""ExceptionInfo"":""""}",2026-06-05 11:15:39.984642
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 构造通知消息报文完成，准备发送......"",""ExceptionInfo"":""""}",2026-06-05 11:15:47.632226
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 发送完毕"",""ExceptionInfo"":""""}",2026-06-05 11:15:49.550433
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""InitInfos 初始化各部位数据完成:\r\nGU--材质=K.K.K.K.K，门幅=2500，楞型=5BA\r\nLS0--材质=K，门幅=2500，楞型=5BA，对应的订单材质=K.K.K.K.K\r\nMS1--材质=K，门幅=2500，楞型=B，对应的订单材质=K.K.K.K.K\r\nLS1--材质=K，门幅=2500，楞型=B，对应的订单材质=K.K.K.K.K\r\nMS2--材质=K，门幅=2500，楞型=A，对应的订单材质=K.K.K.K.K\r\nLS2--材质=K，门幅=2500，楞型=A，对应的订单材质=K.K.K.K.K\r\nMS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\nLS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\n"",""ExceptionInfo"":""""}",2026-06-05 13:09:14.433571
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 构造通知消息报文完成，准备发送......"",""ExceptionInfo"":""""}",2026-06-05 13:09:21.203593
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 发送完毕"",""ExceptionInfo"":""""}",2026-06-05 13:09:22.605600
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\nLS0横切换材了。上笔材质=K，门幅=2500；本批材质=Q，门幅=2500\r\nLS0材质校准：当前正在用的材质=K，门幅=2500，校准后的材质=Q，门幅=2500\r\nMS1横切换材了。上笔材质=K，门幅=2500；本批材质=Q，门幅=2500\r\nMS1材质校准:当前正在用的材质=K，门幅=2500，校准后的材质=Q，门幅=2500\r\nLS1横切换材了。上笔材质=K，门幅=2500；本批材质=Q，门幅=2500\r\nLS1材质校准:当前正在用的材质=K，门幅=2500，校准后的材质=Q，门幅=2500\r\nMS2横切换材了。上笔材质=K，门幅=2500；本批材质=Q，门幅=2500\r\nMS2材质校准:当前正在用的材质=K，门幅=2500，校准后的材质=Q，门幅=2500\r\nLS2横切换材了。上笔材质=K，门幅=2500；本批材质=Q，门幅=2500\r\nLS2材质校准:当前正在用的材质=K，门幅=2500，校准后的材质=Q，门幅=2500\r\n立刻给各部位赋值\r\n"",""ExceptionInfo"":""""}",2026-06-05 13:09:22.678055
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 构造通知消息报文完成，准备发送......"",""ExceptionInfo"":""""}",2026-06-05 13:09:27.423618
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 发送完毕"",""ExceptionInfo"":""""}",2026-06-05 13:09:28.399406
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\n"",""ExceptionInfo"":""""}",2026-06-05 13:11:48.885610
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""InitInfos 初始化各部位数据完成:\r\nGU--材质=Q.Q.Q.Q.Q，门幅=2500，楞型=5BA\r\nLS0--材质=Q，门幅=2500，楞型=5BA，对应的订单材质=Q.Q.Q.Q.Q\r\nMS1--材质=Q，门幅=2500，楞型=B，对应的订单材质=Q.Q.Q.Q.Q\r\nLS1--材质=Q，门幅=2500，楞型=B，对应的订单材质=Q.Q.Q.Q.Q\r\nMS2--材质=Q，门幅=2500，楞型=A，对应的订单材质=Q.Q.Q.Q.Q\r\nLS2--材质=Q，门幅=2500，楞型=A，对应的订单材质=Q.Q.Q.Q.Q\r\nMS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\nLS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\n"",""ExceptionInfo"":""""}",2026-06-05 13:58:35.087200
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\n"",""ExceptionInfo"":""""}",2026-06-05 13:58:35.999828
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""InitInfos 初始化各部位数据完成:\r\nGU--材质=Q.Q.Q.Q.Q，门幅=2500，楞型=5BA\r\nLS0--材质=Q，门幅=2500，楞型=5BA，对应的订单材质=Q.Q.Q.Q.Q\r\nMS1--材质=Q，门幅=2500，楞型=B，对应的订单材质=Q.Q.Q.Q.Q\r\nLS1--材质=Q，门幅=2500，楞型=B，对应的订单材质=Q.Q.Q.Q.Q\r\nMS2--材质=Q，门幅=2500，楞型=A，对应的订单材质=Q.Q.Q.Q.Q\r\nLS2--材质=Q，门幅=2500，楞型=A，对应的订单材质=Q.Q.Q.Q.Q\r\nMS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\nLS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\n"",""ExceptionInfo"":""""}",2026-06-05 15:07:42.544056
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 构造通知消息报文完成，准备发送......"",""ExceptionInfo"":""""}",2026-06-05 15:11:46.411041
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 发送完毕"",""ExceptionInfo"":""""}",2026-06-05 15:11:47.242985
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""InitInfos 初始化各部位数据完成:\r\nGU--材质=Q.Q.Q.Q.Q，门幅=2500，楞型=5BA\r\nLS0--材质=Q，门幅=2500，楞型=5BA，对应的订单材质=Q.Q.Q.Q.Q\r\nMS1--材质=Q，门幅=2500，楞型=B，对应的订单材质=Q.Q.Q.Q.Q\r\nLS1--材质=Q，门幅=2500，楞型=B，对应的订单材质=Q.Q.Q.Q.Q\r\nMS2--材质=Q，门幅=2500，楞型=A，对应的订单材质=Q.Q.Q.Q.Q\r\nLS2--材质=Q，门幅=2500，楞型=A，对应的订单材质=Q.Q.Q.Q.Q\r\nMS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\nLS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\n"",""ExceptionInfo"":""""}",2026-06-05 16:36:40.456491
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 构造通知消息报文完成，准备发送......"",""ExceptionInfo"":""""}",2026-06-05 16:36:50.229756
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 发送完毕"",""ExceptionInfo"":""""}",2026-06-05 16:36:51.198104
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\n"",""ExceptionInfo"":""""}",2026-06-05 16:37:17.265807
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\n"",""ExceptionInfo"":""""}",2026-06-05 16:37:40.020341
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\n"",""ExceptionInfo"":""""}",2026-06-05 16:38:03.425340
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\n"",""ExceptionInfo"":""""}",2026-06-05 16:38:26.276799
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 构造通知消息报文完成，准备发送......"",""ExceptionInfo"":""""}",2026-06-05 16:38:49.876179
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 发送完毕"",""ExceptionInfo"":""""}",2026-06-05 16:38:50.047148
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\nLS2横切换材了。上笔材质=Q，门幅=2500；本批材质=5，门幅=2500\r\nLS2材质校准:当前正在用的材质=Q，门幅=2500，校准后的材质=5，门幅=2500\r\n立刻给各部位赋值\r\n"",""ExceptionInfo"":""""}",2026-06-05 16:38:50.085918
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""InitInfos 初始化各部位数据完成:\r\nGU--材质=Q.Q.Q.Q.5，门幅=2500，楞型=5BA\r\nLS0--材质=Q，门幅=2500，楞型=5BA，对应的订单材质=Q.Q.Q.Q.5\r\nMS1--材质=Q，门幅=2500，楞型=B，对应的订单材质=Q.Q.Q.Q.5\r\nLS1--材质=Q，门幅=2500，楞型=B，对应的订单材质=Q.Q.Q.Q.5\r\nMS2--材质=Q，门幅=2500，楞型=A，对应的订单材质=Q.Q.Q.Q.5\r\nLS2--材质=5，门幅=2500，楞型=A，对应的订单材质=Q.Q.Q.Q.5\r\nMS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\nLS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\n"",""ExceptionInfo"":""""}",2026-06-05 16:41:09.521529
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 构造通知消息报文完成，准备发送......"",""ExceptionInfo"":""""}",2026-06-05 16:41:19.242524
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 发送完毕"",""ExceptionInfo"":""""}",2026-06-05 16:41:19.938759
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\n"",""ExceptionInfo"":""""}",2026-06-05 16:42:34.971950
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""InitInfos 初始化各部位数据完成:\r\nGU--材质=Q.Q.Q.Q.5，门幅=2500，楞型=5BA\r\nLS0--材质=Q，门幅=2500，楞型=5BA，对应的订单材质=Q.Q.Q.Q.5\r\nMS1--材质=Q，门幅=2500，楞型=B，对应的订单材质=Q.Q.Q.Q.5\r\nLS1--材质=Q，门幅=2500，楞型=B，对应的订单材质=Q.Q.Q.Q.5\r\nMS2--材质=Q，门幅=2500，楞型=A，对应的订单材质=Q.Q.Q.Q.5\r\nLS2--材质=5，门幅=2500，楞型=A，对应的订单材质=Q.Q.Q.Q.5\r\nMS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\nLS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\n"",""ExceptionInfo"":""""}",2026-06-05 16:43:38.093034
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""InitInfos 初始化各部位数据完成:\r\nGU--材质=Q.Q.Q.Q.5，门幅=2500，楞型=5BA\r\nLS0--材质=Q，门幅=2500，楞型=5BA，对应的订单材质=Q.Q.Q.Q.5\r\nMS1--材质=Q，门幅=2500，楞型=B，对应的订单材质=Q.Q.Q.Q.5\r\nLS1--材质=Q，门幅=2500，楞型=B，对应的订单材质=Q.Q.Q.Q.5\r\nMS2--材质=Q，门幅=2500，楞型=A，对应的订单材质=Q.Q.Q.Q.5\r\nLS2--材质=5，门幅=2500，楞型=A，对应的订单材质=Q.Q.Q.Q.5\r\nMS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\nLS3--材质=-，门幅=0，楞型=，对应的订单材质=\r\n"",""ExceptionInfo"":""""}",2026-06-05 16:55:12.025498
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\n"",""ExceptionInfo"":""""}",2026-06-05 16:55:13.349840
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 构造通知消息报文完成，准备发送......"",""ExceptionInfo"":""""}",2026-06-05 16:55:21.834697
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 发送完毕"",""ExceptionInfo"":""""}",2026-06-05 16:55:22.621326
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\n"",""ExceptionInfo"":""""}",2026-06-05 16:57:15.455976
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\n"",""ExceptionInfo"":""""}",2026-06-05 16:57:41.652049
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--MS1-下批材质=8,下批门幅=2500,下批楞型=B,下批全材质=Q.8.1.7.R"",""ExceptionInfo"":""""}",2026-06-05 16:59:44.971564
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--MS1-下批材质=8,下批门幅=2500,下批楞型=B,下批全材质=Q.8.1.7.R"",""ExceptionInfo"":""""}",2026-06-05 16:59:46.515006
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--MS1-下批材质=8,下批门幅=2500,下批楞型=B,下批全材质=Q.8.1.7.R"",""ExceptionInfo"":""""}",2026-06-05 16:59:48.073553
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--MS1-下批材质=8,下批门幅=2500,下批楞型=B,下批全材质=Q.8.1.7.R"",""ExceptionInfo"":""""}",2026-06-05 16:59:49.624597
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--MS1-下批材质=8,下批门幅=2500,下批楞型=B,下批全材质=Q.8.1.7.R"",""ExceptionInfo"":""""}",2026-06-05 16:59:51.169544
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--MS1-下批材质=8,下批门幅=2500,下批楞型=B,下批全材质=Q.8.1.7.R"",""ExceptionInfo"":""""}",2026-06-05 16:59:52.707126
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--MS1-下批材质=8,下批门幅=2500,下批楞型=B,下批全材质=Q.8.1.7.R"",""ExceptionInfo"":""""}",2026-06-05 16:59:54.246512
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""CalSPNextBatchInfo--MS1-下批材质=8,下批门幅=2500,下批楞型=B,下批全材质=Q.8.1.7.R"",""ExceptionInfo"":""""}",2026-06-05 16:59:55.795288
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=89.9,GuRange1=0,GuRange2=0,GuRange3=1"",""ExceptionInfo"":""""}",2026-06-05 17:00:29.775193
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=88.5,GuRange1=0,GuRange2=0,GuRange3=2"",""ExceptionInfo"":""""}",2026-06-05 17:00:30.297754
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=87.1,GuRange1=0,GuRange2=0,GuRange3=3"",""ExceptionInfo"":""""}",2026-06-05 17:00:30.817403
